Detector+Descriptor type;1;2;3;4;5;6;7;8
SHITOMASI/BRISK;-263506740;0;88;80;90;82;79;85
SHITOMASI/BRIEF;86;82;111;104;101;102;102;100
SHITOMASI/ORB;109;100;102;99;102;103;97;98
SHITOMASI/FREAK;104;97;90;86;88;86;80;81
HARRIS/BRISK;86;85;10;14;15;16;16;15
HARRIS/BRIEF;23;21;11;15;20;24;26;16
HARRIS/ORB;24;23;12;15;18;24;20;15
HARRIS/FREAK;24;22;13;15;15;17;20;12
FAST/BRISK;21;18;104;101;98;85;107;107
FAST/BRIEF;100;100;130;118;126;108;123;131
FAST/ORB;125;119;123;112;126;106;122;122
FAST/FREAK;123;119;99;91;98;85;99;102
BRISK/BRISK;101;105;163;146;173;150;162;182
BRISK/BRIEF;183;161;205;185;179;183;195;207
BRISK/ORB;189;183;199;175;187;179;185;200
BRISK/FREAK;203;178;162;147;170;148;172;173
ORB/BRISK;178;166;46;57;61;56;68;64
ORB/BRIEF;80;73;43;45;59;53;78;68
ORB/ORB;84;66;46;58;58;52;75;67
ORB/FREAK;83;74;43;52;52;58;63;58
AKAZE/BRISK;75;69;121;128;126;126;133;137
AKAZE/BRIEF;144;143;134;131;130;134;146;150
AKAZE/ORB;148;152;134;132;124;139;141;144
AKAZE/FREAK;157;150;126;130;117;126;128;147
SIFT/BRISK;146;133;62;63;63;56;60;60
SIFT/BRIEF;66;71;78;76;85;69;74;76
SIFT/ORB;70;88;76;76;77;68;66;72
SIFT/FREAK;78;87;70;64;64;61;60;63
