Detector+Descriptor type;1;2;3;4;5;6;7;8;9;10
SHITOMASI/BRISK;22;19;18;19;19;21;17;18;18;17
SHITOMASI/BRIEF;16;16;15;16;15;15;16;16;15;15
SHITOMASI/ORB;16;18;17;18;18;18;19;19;18;17
SHITOMASI/FREAK;58;55;52;51;51;51;51;51;50;50
HARRIS/BRISK;13;14;14;13;14;28;13;15;15;19
HARRIS/BRIEF;13;14;15;14;15;29;12;15;14;19
HARRIS/ORB;13;13;13;13;14;28;13;15;14;19
HARRIS/FREAK;51;52;52;53;52;67;51;53;52;57
FAST/BRISK;2;2;2;2;2;2;2;2;2;2
FAST/BRIEF;2;1;2;1;1;2;1;1;2;1
FAST/ORB;2;3;1;1;3;1;1;3;1;1
FAST/FREAK;41;41;41;41;40;40;42;40;40;41
BRISK/BRISK;43;43;44;43;45;44;43;42;42;42
BRISK/BRIEF;42;45;42;41;43;42;41;40;42;40
BRISK/ORB;41;41;43;43;42;42;44;42;46;41
BRISK/FREAK;83;84;83;84;83;81;81;79;80;82
ORB/BRISK;9;9;8;9;8;8;8;8;8;8
ORB/BRIEF;8;7;7;7;7;7;7;7;8;7
ORB/ORB;8;8;8;8;7;8;9;8;8;9
ORB/FREAK;49;47;47;47;47;49;48;47;49;47
AKAZE/BRISK;73;71;72;67;75;69;70;73;72;67
AKAZE/BRIEF;71;70;69;72;70;70;67;72;70;75
AKAZE/ORB;69;85;69;69;70;66;70;67;63;70
AKAZE/FREAK;111;117;121;114;118;110;108;112;108;108
SIFT/BRISK;130;132;135;136;138;134;137;138;136;139
SIFT/BRIEF;136;139;135;129;135;130;130;134;132;134
SIFT/ORB;136;136;135;134;129;132;138;133;135;139
SIFT/FREAK;183;174;180;173;174;175;173;181;183;176
